2001,heart,133451540,363220229,216438538,266669666,299937230,195096902,2001_heart_F.wav,2001_heart_M.wav
2002,mother,219747211,403110958,333819137,173470385,187224104,134650001,2002_mother_F.wav,2002_mother_M.wav
2003,rain,144560882,338959883,245206552,127544033,222588760,255543511,2003_rain_F.wav,2003_rain_M.wav
2004,grater,223606819,258996563,167088116,291508199,104206787,206158093,2004_grater_F.wav,2004_grater_M.wav
2005,car,197514563,272624879,204837907,223230268,221802208,380150719,2005_car_F.wav,2005_car_M.wav
2006,hares,340717499,283601036,106605935,274594211,347998781,226100671,2006_hares_F.wav,2006_hares_M.wav
2007,dream,383835478,141758677,320727449,58127497,237699745,286101293,2007_dream_F.wav,2007_dream_M.wav
2008,fork,187795829,69994060,274911839,180412637,213957817,101475526,2008_fork_F.wav,2008_fork_M.wav
2009,silk,119717329,135491168,154744061,64410901,225179398,274449182,2009_silk_F.wav,2009_silk_M.wav
2010,street,377682592,132039500,367806089,409336108,262859615,122533384,2010_street_F.wav,2010_street_M.wav
2011,lump,226561120,309174668,113325019,273242033,310519364,341615552,2011_lump_F.wav,2011_lump_M.wav
2012,equipment,255608995,232941214,300480368,127349525,270583907,257135110,2012_equipment_F.wav,2012_equipment_M.wav
2014,meeting,128200316,317742068,318181172,309239084,176981522,165290138,2014_meeting_F.wav,2014_meeting_M.wav
2015,flake,114611560,274960727,174627779,305439458,70372918,214996597,2015_flake_F.wav,2015_flake_M.wav
2016,splint,7710151,366018920,125809121,32851411,193603826,236575654,2016_splint_F.wav,2016_splint_M.wav
2017,maze,30616888,318583850,192175943,110874461,214285231,131325443,2017_maze_F.wav,2017_maze_M.wav
2018,hair,187315019,91278503,368866460,266637593,125360672,182273078,2018_hair_F.wav,2018_hair_M.wav
2019,window,242254642,358690316,200971631,337723904,123824557,372121411,2019_window_F.wav,2019_window_M.wav
2020,drink,259908038,318907226,123271168,386454112,224157922,155793641,2020_drink_F.wav,2020_drink_M.wav
2021,museum,125891267,78784762,287177567,84971917,354768455,306172058,2021_museum_F.wav,2021_museum_M.wav
2022,summer,202095331,228505978,388976824,280954052,331738490,105513149,2022_summer_F.wav,2022_summer_M.wav
2023,map,289554632,185633474,261908546,124823455,398380882,180366683,2023_map_F.wav,2023_map_M.wav
2024,king,236052619,241010875,411396925,174247073,127866941,183856196,2024_king_F.wav,2024_king_M.wav
2025,ladder,213427834,316842947,240612340,236149720,318865817,268806284,2025_ladder_F.wav,2025_ladder_M.wav
2026,table,213885766,288185201,242799349,370710389,251364892,295248209,2026_table_F.wav,2026_table_M.wav
2027,eye,157742240,344737346,171498722,124979924,85582952,178345715,2027_eye_F.wav,2027_eye_M.wav
2028,town,411054187,170499110,394439641,403601185,224230300,318425903,2028_town_F.wav,2028_town_M.wav
2029,drain,310266182,338596994,260226050,119614204,225187774,285352985,2029_drain_F.wav,2029_drain_M.wav
2030,mind,212487112,410719975,274697753,112947532,341980118,360782399,2030_mind_F.wav,2030_mind_M.wav
2031,duck,352687961,147330803,353158814,269101295,310908374,32234677,2031_duck_F.wav,2031_duck_M.wav
2032,drip,253493854,120111301,170813195,234812788,333872345,370443422,2032_drip_F.wav,2032_drip_M.wav
2033,scab,306842546,4768255746,274104914,325321646,73156078,342797096,2033_scab_F.wav,2033_scab_M.wav
2034,staple,414650008,291903257,92698831,254800894,297570512,304492556,2034_staple_F.wav,2034_staple_M.wav
2035,tea,301981889,90014248,257103031,408652363,374220532,25090564,2035_tea_F.wav,2035_tea_M.wav
2036,cup,392302435,104234948,242068693,368006834,264753728,167614241,2036_cup_F.wav,2036_cup_M.wav
2037,toe,169596197,372165775,143842174,223116157,158482067,296690816,2037_toe_F.wav,2037_toe_M.wav
2038,city,387401410,331111568,330394337,332281685,319358705,376342411,2038_city_F.wav,2038_city_M.wav
2040,saucer,330133193,34139605,211520608,326549411,363785387,242321011,2040_saucer_F.wav,2040_saucer_M.wav
2041,grain,416572834,344282432,109624334,224906506,303426659,243570337,2041_grain_F.wav,2041_grain_M.wav
2042,herd,369111701,417132424,402121600,346689371,337738712,292013570,2042_herd_F.wav,2042_herd_M.wav
2043,ground,152390804,17546428,249839722,144303169,378390355,175950137,2043_ground_F.wav,2043_ground_M.wav
2044,couch,81036226,90052630,305026796,301054526,90309244,304471352,2044_couch_F.wav,2044_couch_M.wav
2045,bug,292871342,255942817,110333966,388110514,89270881,93599731,2045_bug_F.wav,2045_bug_M.wav
2047,piece,185560496,6007594,297031319,287214563,228866134,82088998,2047_piece_F.wav,2047_piece_M.wav
2048,dog,176109785,11412262,344329571,325208483,264613508,248720215,2048_dog_F.wav,2048_dog_M.wav
2049,school,100213607,111725651,197410067,71762230,128713916,65455513,2049_school_F.wav,2039_school_M.wav
2051,cow,232941622,50510023,390762250,155373281,194232263,114507196,2051_cow_F.wav,2051_cow_M.wav
2052,knife,189119774,265122461,76917043,115539718,114491449,67192519,2052_knife_F.wav,2052_knife_M.wav
2053,church,54614230,242967301,343231379,322531472,391410934,23695585,2053_church_F.wav,2053_church_M.wav
2054,oar,292555361,219799282,217785334,253104316,109094873,284682359,2054_oar_F.wav,2054_oar_M.wav
2055,home,112335221,199807163,384721735,164027042,332757140,99910160,2055_home_F.wav,2055_home_M.wav
2056,son,284884688,864639,136866302,414096421,40209745,139616924,2056_son_F.wav,2056_son_M.wav
2057,pair,153769820,48019615,302230571,141950908,132843167,114662515,2057_pair_F.wav,2057_pair_M.wav
2059,tan,68441374,99974567,250670302,388867531,243851392,75874030,2059_tan_F.wav,2059_tan_M.wav
2061,bike,184459979,176008442,68145004,72159808,261616112,121870672,2061_bike_F.wav,2061_bike_M.wav
2063,park,331631825,142199308,390401356,136803617,76298656,25126039,2063_park_F.wav,2063_park_M.wav
2065,shrub,96765553,119970208,15257479,109105508,107733569,139301987,2065_shrub_F.wav,2065_shrub_M.wav
2066,chair,195780470,175291973,27039787,310485779,148566050,336963458,2066_chair_F.wav,2066_chair_M.wav
2067,horse,127114529,208264867,167592644,55711117,179021462,127315706,2067_horse_F.wav,2067_horse_M.wav
2068,tap,273150278,349365509,385218364,316502861,340269662,309256823,2068_tap_F.wav,2068_tap_M.wav
2069,peach,405737779,121943146,264425411,133806461,16033408,129527819,2069_peach_F.wav,2069_peach_M.wav
2070,judge,244574233,332040413,235304332,232194856,388664599,373014982,2070_judge_F.wav,2070_judge_M.wav
2071,pie,158416529,376033927,352172756,272108678,751143,276060911,2071_pie_F.wav,2071_pie_M.wav
2072,boy,155506592,379409623,94856434,276558377,91803884,176184602,2072_boy_F.wav,2072_boy_M.wav
2073,door,264705650,203061130,350919233,271759115,163176344,226821592,2073_door_F.wav,2073_door_M.wav
2074,bolt (screw),89064637,102627929,44167663,215885833,91635029,265047248,2074_bolt_F.wav,2074_bolt_M.wav
2075,nurse,98521118,119738128,52540174,294026867,160642328,300718169,2075_nurse_F.wav,2075_nurse_M.wav
2076,plan,379694302,315784550,248208724,62528233,362358788,275716979,2076_plan_F.wav,2076_plan_M.wav
2077,kicks,206422504,232538008,187033544,81588436,110354981,193640225,2077_kicks_F.wav,2077_kicks_M.wav
2079,kneads,363826817,408374029,353160557,5191423,386517946,149060198,2079_kneads_F.wav,2079_kneads_M.wav
2080,cries,272857472,88859605,147774962,95685547,95151865,345195872,2080_cries_F.wav,2080_cries_M.wav
2081,smokes,131253938,380396236,397287436,166529984,139231967,224492806,2081_smokes_F.wav,2081_smokes_M.wav
2082,shops,70717681,123616060,130036148,71067823,69574168,284164844,2082_shops_F.wav,2082_shops_M.wav
2083,swings,17542492,100079672,273448619,122763865,55042717,72950713,2083_swings_F.wav,2083_swings_M.wav
2084,bets,28380595,134250479,121551658,196043063,167974337,265832510,2084_bets_F.wav,2084_bets_M.wav
2085,apologises,408661033,291481859,359950691,383754280,125691800,138721001,2085_apologises_F.wav,2085_apologises_M.wav
2086,chops,121827016,51885919,108502796,154403153,130724276,248065054,2086_chops_F.wav,2086_chops_M.wav
2087,blinks,52554760,293796458,220335382,97638635,372430225,133983707,2087_blinks_F.wav,2087_blinks_M.wav
2088,sits,180357407,29071762,95707042,194960111,69735364,208893532,2088_sits_F.wav,2088_sits_M.wav
2090,reads,147379169,206271676,366408869,109130027,156540323,12762880,2090_reads_M.wav,2090_reads_F.wav
2091,wakes,292934828,363562829,233474596,147861248,199277918,156649517,2091_wakes_F.wav,2091_wakes_M.wav
2092,walks,118699078,11409115,361260797,280580420,189662243,121565701,2092_walks_F.wav,2092_walks_M.wav
2093,mows,391442536,50452468,16157827,97821170,232950253,65616349,2093_mows_F.wav,2093_mows_M.wav
2094,slides,281259281,365215922,23826028,286778708,207818881,208232557,2094_slides_F.wav,2094_slides_M.wav
2095,blows,71690386,18329944,70223935,326887439,294586715,77084536,2095_blows_F.wav,2095_blows_M.wav
2096,sobs,172758029,174747545,48443395,147766070,145246171,261567479,2096_sobs_F.wav,2096_sobs_M.wav
2097,old,287341142,266477789,342395633,389044900,298855175,265637114,2097_old_F.wav,2097_old_M.wav
2099,peels,380359147,378601294,55854982,414503239,336382487,174630191,2099_peels_F.wav,2099_peels_M.wav
2100,steers,361946531,258947351,190418312,380954200,194614640,335333105,2100_steers_F.wav,2100_steers_M.wav
2101,rides,52815367,133751489,78899722,398604658,178435370,332248478,2101_rides_F.wav,2101_rides_M.wav
2103,fights,92453713,46449940,2982259,214304914,284145944,107890112,2103_fights_F.wav,2103_fights_M.wav
2104,begs,172574675,50732002,271854503,177202634,362851469,82846387,2104_begs_F.wav,2104_begs_M.wav
2105,wraps,115217188,183125153,30725689,48623035,75050608,53881681,2105_wraps_F.wav,2105_wraps_M.wav
2106,weighs,261307412,323590763,307062959,141034240,203115673,97689989,2106_weighs_F.wav,2106_weighs_M.wav
2107,lays,404517991,81438085,193994489,244620043,128618072,133079120,2107_lays_F.wav,2107_lays_M.wav
2108,drives,117636061,116706205,197729297,294987560,309189269,243440098,2108_drives_F.wav,2108_drives_M.wav
2110,drunk,372400570,346317764,159440075,377204317,261063956,176510147,2110_drunk_F.wav,2110_drunk_M.wav
2112,pecks,142696573,382064212,268789364,70775122,312909821,143178046,2112_pecks_F.wav,2112_pecks_M.wav
2113,feeds,142179721,293615768,369458927,109354586,1072012,86742637,2113_feeds_F.wav,2113_feeds_M.wav
2114,noisy,60495097,2786889,215658637,267360944,92878246,112384388,2114_noisy_F.wav,2114_noisy_M.wav
2115,white,119604538,138301922,254484436,92983078,282846194,127395488,2115_white_F.wav,2115_white_M.wav
2116,silly,113072755,125317331,200018051,154855127,129390926,148650020,2116_silly_F.wav,2116_silly_M.wav
2117,blind,108836180,385034629,292770311,118151752,169771781,7044712,2117_blind_F.wav,2117_blind_M.wav
2118,woollen,256583503,143797783,372467806,293864924,94219717,172661405,2118_woollen_F.wav,2118_woollen_M.wav
2119,shiny,352350347,88505743,314301254,376143448,324619856,173123312,2119_shiny_F.wav,2119_shiny_M.wav
2120,tall,410939206,241869655,404498128,142243774,260892737,122789017,2120_tall_F.wav,2120_tall_M.wav
2121,last,305326820,350247149,220045237,167580314,321495263,362619308,2121_last_F.wav,2121_last_M.wav
2122,wrong,409504549,257708962,409504522,408763213,278452943,346496468,2122_wrong_F.wav,2122_wrong_M.wav
2123,red,406131190,346308248,116404093,349416518,262323596,163888526,2123_red_F.wav,2123_red_M.wav
2124,quick,319450784,355786016,147733145,408650482,40020424,107409017,2124_quick_F.wav,2124_quick_M.wav
2125,she,9012,100479402,97224845,7001,7002,7003,2125_she_F.wav,2125_she_M.wav
2126,his,9007,9011,25024764,7010,7011,7012,2126_his_F.wav,2126_his_M.wav
2127,below,105689792,98200569,9002,98200574,9003,9004,2127_below_F.wav,2127_below_M.wav
2128,on,21162908,100727278,122886253,28770782,140969903,4899851,2128_on_F.wav,2128_on_M.wav